ApplicantID,PastRelevantExperience,YearsOfRelevantExperience,HighestEducationLevel,YearOfBirth,Hired
100000,True,2,High School,2003,False
100001,True,2,Bachelor,2002,True
100002,True,2,High School,2007,False
100003,True,2,High School,2007,False
100004,True,1,High School,1998,False
100005,False,0,High School,2003,False
100006,False,0,Associate Degree,1990,False
100007,False,0,High School,2007,False
100008,False,0,High School,1992,False
100009,True,1,Bachelor,2000,True
100010,True,2,High School,1997,False
100011,False,0,High School,2005,False
100012,True,2,Bachelor,2005,False
100013,False,0,Bachelor,2001,False
100014,True,1,Associate Degree,2005,False
100015,True,1,Bachelor,1999,False
100016,False,0,High School,2006,False
100017,True,2,Master,2004,True
100018,True,2,Bachelor,2004,False
100019,False,0,High School,2002,False
100020,True,2,High School,2001,False
100021,True,2,Bachelor,2006,False
100022,True,4,Bachelor,2001,True
100023,True,3,Associate Degree,2000,False
100024,True,1,High School,1998,False
100025,False,0,Bachelor,1993,False
100026,True,4,High School,2004,False
100027,True,2,Associate Degree,2002,False
100028,True,1,High School,1989,False
100029,False,0,High School,2006,False
100030,True,3,Bachelor,1997,True
100031,True,1,Bachelor,2004,False
100032,True,4,Bachelor,2004,False
100033,False,0,Bachelor,2001,False
100034,True,1,Bachelor,1998,True
100035,False,0,High School,2002,False
100036,True,8,Bachelor,1997,False
100037,True,5,Bachelor,1998,False
100038,True,5,High School,2000,False
100039,True,3,Associate Degree,2006,False
100040,True,1,Bachelor,2005,False
100041,True,3,High School,2004,False
100042,True,1,High School,2006,False
100043,True,1,High School,2004,False
100044,True,3,High School,2006,False
100045,True,2,Associate Degree,1996,False
100046,False,0,High School,2002,False
100047,True,1,Associate Degree,1987,False
100048,True,1,Associate Degree,2001,False
100049,False,0,High School,2003,False
100050,False,0,High School,2006,False
100051,True,3,Bachelor,2002,False
100052,True,4,Associate Degree,2005,True
100053,False,0,High School,1999,False
100054,False,0,High School,1998,False
100055,False,0,Associate Degree,2000,False
100056,False,0,High School,2005,False
100057,True,2,High School,2007,False
100058,True,1,Associate Degree,1992,False
100059,True,1,Associate Degree,1987,False
100060,True,2,High School,1992,False
100061,False,0,High School,2000,False
100062,True,3,Associate Degree,1995,False
