EmployeeID,New Role,DateChanged,ReasonForLeaving
5000,Quit,2024-10-07,Poor Management
5001,Quit,2025-02-01,Better Offer
5002,Quit,2022-06-25,Lack of Growth
5003,Quit,2025-11-05,Poor Management
5005,Quit,2025-03-21,Lack of Growth
5006,Quit,2023-06-11,Insufficient Wages
5007,Quit,2025-05-26,Better Offer
5008,Quit,2022-03-24,Lack of Growth
5009,Quit,2022-07-20,Lack of Growth
5010,Quit,2022-05-17,Burntout
5011,Quit,2025-12-27,Better Offer
5013,Dismissed,2023-10-17,Performance
5014,Quit,2023-07-30,Better Offer
5015,Quit,2023-04-03,Poor Management
5016,Quit,2021-06-05,Better Offer
5017,Dismissed,2021-12-04,Attendance
5018,Dismissed,2025-07-19,Attendance
5019,Quit,2023-02-27,Poor Management
5020,Quit,2025-03-30,Poor Management
5021,Quit,2022-12-21,Lack of Growth
5022,Quit,2025-09-12,Better Offer
5023,Quit,2021-12-06,Better Offer
5024,Dismissed,2022-09-30,Attendance
5026,Quit,2024-06-04,Lack of Growth
5027,Bartender,2023-09-11,NA
5027,Quit,2025-02-20,Better Offer
5028,Quit,2023-10-31,Poor Management
5029,Dismissed,2021-07-06,Performance
5030,Quit,2023-02-18,Lack of Growth
5031,Quit,2022-08-21,Burntout
5032,Dismissed,2024-01-03,Performance
5033,Quit,2025-09-19,Lack of Growth
5034,Quit,2022-07-21,Lack of Growth
5035,Bartender,2021-10-20,NA
5035,Quit,2022-09-09,Burntout
5036,Quit,2023-10-03,Burntout
5037,Quit,2022-10-18,Burntout
5038,Quit,2022-09-29,Insufficient Wages
5039,Dismissed,2025-07-23,Performance
5040,Quit,2021-10-10,Lack of Growth
5041,Quit,2024-12-15,Burntout
5042,Quit,2021-08-05,Poor Management
5043,Bartender,2023-05-18,NA
5043,Quit,2024-04-27,Poor Management
5046,Server,2025-04-05,NA
5046,Quit,2025-11-04,Relocation
5047,Quit,2024-12-11,Burntout
5048,Quit,2021-05-05,Insufficient Wages
5049,Quit,2024-08-10,Insufficient Wages
5050,Quit,2023-09-06,Burntout
5051,Manager,2024-10-18,NA
5052,Quit,2021-08-21,Burntout
5053,Quit,2023-09-17,Burntout
5054,Quit,2022-11-12,Better Offer
5055,Dismissed,2025-10-07,Performance
5056,Quit,2022-12-21,Poor Management
