EmployeeID,DateReviewed,PerformanceScore
5764,2022-09-11,88.22
5764,2022-12-10,88.86
5764,2023-03-10,87.28
5764,2023-06-08,91.0
5764,2023-09-06,92.23
5764,2023-12-05,87.96
5764,2024-03-04,88.42
5764,2024-06-02,92.88
5764,2024-08-31,90.47
5764,2024-11-29,94.96
5764,2025-02-27,88.27
5764,2025-05-28,87.3
5764,2025-08-26,94.13
5764,2025-11-24,92.35
5997,2024-05-26,92.49
5997,2024-08-24,90.38
5997,2024-11-22,86.04
5997,2025-02-20,87.5
5997,2025-05-21,91.18
5997,2025-08-19,91.24
5997,2025-11-17,86.61
5454,2024-09-18,81.34
5454,2024-12-17,76.72
5454,2025-03-17,76.24
5454,2025-06-15,79.78
5454,2025-09-13,75.12
5454,2025-12-12,76.97
5557,2024-12-03,65.41
5557,2025-03-03,74.42
5557,2025-06-01,73.64
5557,2025-08-30,72.37
5557,2025-11-28,73.74
5923,2025-03-07,86.78
5923,2025-06-05,91.52
5923,2025-09-03,88.12
5923,2025-12-02,89.76
5572,2025-04-13,90.23
5572,2025-07-12,88.96
5572,2025-10-10,92.94
5155,2025-06-05,80.03
5155,2025-09-03,81.62
5155,2025-12-02,77.43
5711,2025-07-14,78.47
5711,2025-10-12,84.49
5669,2025-08-13,68.15
5669,2025-11-11,69.51
5099,2025-08-27,85.14
5099,2025-11-25,85.74
5457,2025-10-21,74.92
5305,2025-11-28,85.44
5119,2026-01-02,85.31
5544,2026-01-18,93.66
5973,2026-02-05,76.18
5156,2026-02-19,85.23
5793,2026-03-12,82.18
5527,2026-03-16,93.86
5203,2021-11-07,98.41
5203,2022-02-05,96.34
5203,2022-05-06,94.03
5203,2022-08-04,97.65
5203,2022-11-02,93.94
5203,2023-01-31,89.95
5203,2023-05-01,94.68
5203,2023-07-30,96.77
5203,2023-10-28,94.01
5203,2024-01-26,91.47
5203,2024-04-25,99.7
5203,2024-07-24,88.71
5967,2023-02-07,86.72
5967,2023-05-08,85.23
5967,2023-08-06,79.19
5967,2023-11-04,79.43
5967,2024-02-02,84.52
5967,2024-05-02,86.09
5967,2024-07-31,77.29
5967,2024-10-29,82.86
5967,2025-01-27,82.56
5967,2025-04-27,73.94
5991,2021-10-26,85.64
5991,2022-01-24,87.04
5991,2022-04-24,90.59
5991,2022-07-23,88.72
5991,2022-10-21,86.62
5991,2023-01-19,90.01
5991,2023-04-19,91.51
5991,2023-07-18,85.77
5280,2022-03-27,89.53
5280,2022-06-25,89.05
5280,2022-09-23,86.58
5280,2022-12-22,84.6
5280,2023-03-22,89.76
5280,2023-06-20,85.8
5280,2023-09-18,81.7
5607,2023-11-28,89.03
5607,2024-02-26,89.76
5607,2024-05-26,89.85
5607,2024-08-24,95.18
5607,2024-11-22,89.24
5607,2025-02-20,89.64
5607,2025-05-21,87.61
5071,2022-05-17,91.26
5071,2022-08-15,98.65
5071,2022-11-13,95.11
5071,2023-02-11,95.9
5071,2023-05-12,92.95
5071,2023-08-10,86.29
5541,2023-11-18,78.02
5541,2024-02-16,80.22
5541,2024-05-16,85.08
5541,2024-08-14,84.88
5541,2024-11-12,86.96
5541,2025-02-10,75.43
5150,2021-10-13,90.16
5150,2022-01-11,89.62
5150,2022-04-11,88.38
5150,2022-07-10,87.96
5150,2022-10-08,85.07
5150,2023-01-06,87.76
5598,2023-01-28,94.64
5598,2023-04-28,95.63
5598,2023-07-27,90.8
5598,2023-10-25,98.9
5598,2024-01-23,85.09
5109,2024-01-15,77.8
